filename,width,height,class,xmin,ymin,xmax,ymax
007826.jpg,500,375,diningtable,80,217,320,273
007826.jpg,500,375,chair,197,193,257,326
007826.jpg,500,375,chair,139,184,185,231
007826.jpg,500,375,chair,258,180,312,314
007826.jpg,500,375,chair,10,195,93,358
007826.jpg,500,375,chair,82,252,243,372
007826.jpg,500,375,chair,43,319,144,375
002786.jpg,500,332,horse,80,97,348,272
002786.jpg,500,332,person,201,52,258,202
006286.jpg,500,375,person,80,88,405,375
006286.jpg,500,375,person,436,147,475,209
006286.jpg,500,375,person,381,145,428,191
006286.jpg,500,375,diningtable,402,219,500,375
006286.jpg,500,375,diningtable,347,177,405,216
006286.jpg,500,375,diningtable,160,167,203,188
006286.jpg,500,375,diningtable,104,185,209,279
006286.jpg,500,375,diningtable,1,322,82,375
006286.jpg,500,375,diningtable,2,169,53,225
006286.jpg,500,375,chair,408,241,500,375
006286.jpg,500,375,chair,49,178,135,279
006286.jpg,500,375,chair,135,164,167,188
006286.jpg,500,375,chair,150,184,233,290
006286.jpg,500,375,chair,19,167,65,231
006286.jpg,500,375,chair,56,163,95,209
006286.jpg,500,375,chair,97,177,152,203
006286.jpg,500,375,chair,184,166,231,194
006286.jpg,500,375,chair,196,181,240,208
006286.jpg,500,375,chair,400,178,454,232
006286.jpg,500,375,chair,1,169,32,174
002962.jpg,500,334,tvmonitor,430,121,500,205
002962.jpg,500,334,person,192,1,466,326
002962.jpg,500,334,person,1,146,128,331
008297.jpg,500,375,bird,2,2,500,375
009189.jpg,500,378,cow,464,241,500,291
009189.jpg,500,378,cow,405,226,449,281
009189.jpg,500,378,cow,304,224,366,261
009189.jpg,500,378,cow,231,212,287,245
009189.jpg,500,378,cow,123,186,227,250
009189.jpg,500,378,cow,70,178,120,237
009823.jpg,500,375,dog,3,4,498,374
002976.jpg,251,500,person,3,199,240,500
002976.jpg,251,500,person,202,361,251,471
002745.jpg,375,500,bottle,213,59,312,442
002745.jpg,375,500,pottedplant,195,273,367,383
002745.jpg,375,500,pottedplant,303,115,375,228
006523.jpg,500,375,aeroplane,189,186,312,230
008268.jpg,500,334,car,461,148,495,172
008268.jpg,500,334,car,22,85,471,324
008268.jpg,500,334,car,1,129,158,244
004452.jpg,500,375,aeroplane,411,251,454,302
002023.jpg,500,362,car,27,47,483,300
005980.jpg,500,375,cat,53,8,420,312
004446.jpg,500,375,cat,226,213,429,343
004446.jpg,500,375,pottedplant,132,1,376,280
002037.jpg,500,375,bird,100,89,402,367
009162.jpg,500,386,chair,220,64,461,331
006251.jpg,500,375,sheep,75,238,146,286
006251.jpg,500,375,sheep,160,221,201,255
006251.jpg,500,375,sheep,127,232,179,269
006251.jpg,500,375,sheep,397,225,426,263
006251.jpg,500,375,sheep,323,222,361,260
006251.jpg,500,375,sheep,227,232,272,269
006251.jpg,500,375,sheep,259,220,293,256
006251.jpg,500,375,sheep,170,199,203,221
006251.jpg,500,375,sheep,220,202,238,220
006251.jpg,500,375,sheep,379,223,400,247
006251.jpg,500,375,sheep,358,199,382,218
006251.jpg,500,375,sheep,383,199,408,218
006251.jpg,500,375,sheep,275,211,302,237
000620.jpg,500,344,car,114,182,303,309
000620.jpg,500,344,car,51,267,71,280
000620.jpg,500,344,car,19,272,36,284
000146.jpg,374,500,person,155,208,252,408
007629.jpg,500,375,person,308,54,418,374
001258.jpg,500,375,car,101,92,423,287
001258.jpg,500,375,car,307,103,414,180
002751.jpg,500,375,bicycle,104,174,318,305
002751.jpg,500,375,person,150,114,296,262
002751.jpg,500,375,person,454,50,500,149
002751.jpg,500,375,chair,374,85,411,142
002751.jpg,500,375,bicycle,121,82,212,143
002989.jpg,500,333,tvmonitor,281,149,339,204
002989.jpg,500,333,chair,461,195,500,300
002989.jpg,500,333,chair,436,163,500,291
002989.jpg,500,333,chair,306,213,443,333
002989.jpg,500,333,chair,81,178,197,265
002989.jpg,500,333,sofa,219,163,284,204
002989.jpg,500,333,sofa,1,193,143,333
007601.jpg,500,375,car,19,68,482,299
007601.jpg,500,375,car,2,91,50,181
001270.jpg,500,357,aeroplane,31,126,448,234
002779.jpg,500,331,car,32,132,229,234
002779.jpg,500,331,car,284,126,440,243
005016.jpg,500,333,aeroplane,10,121,196,183
005016.jpg,500,333,aeroplane,119,53,489,190
003301.jpg,500,333,person,97,41,271,333
003301.jpg,500,333,dog,104,196,236,294
003301.jpg,500,333,chair,96,190,291,333
003301.jpg,500,333,pottedplant,4,110,109,309
006279.jpg,500,375,aeroplane,31,127,499,244
007167.jpg,500,375,car,9,98,347,219
007167.jpg,500,375,car,51,107,500,306
007167.jpg,500,375,person,338,114,388,171
007167.jpg,500,375,person,198,113,224,138
008254.jpg,500,333,cat,1,51,418,314
000608.jpg,500,375,boat,139,14,220,142
000608.jpg,500,375,boat,12,110,420,286
005764.jpg,375,500,person,1,17,109,461
007615.jpg,500,375,bird,297,43,428,365
007615.jpg,500,375,bird,141,160,291,375
008526.jpg,375,500,horse,133,250,274,424
008526.jpg,375,500,horse,255,246,316,385
008526.jpg,375,500,person,57,218,86,258
008526.jpg,375,500,person,82,203,101,242
008526.jpg,375,500,person,100,176,156,280
009638.jpg,500,375,chair,1,252,105,375
009638.jpg,500,375,chair,410,191,500,321
009638.jpg,500,375,chair,358,184,404,212
009638.jpg,500,375,chair,480,178,500,226
009638.jpg,500,375,chair,409,179,450,255
009638.jpg,500,375,chair,1,202,47,275
009638.jpg,500,375,person,96,3,500,375
009638.jpg,500,375,person,349,155,377,184
009638.jpg,500,375,person,383,160,404,182
009638.jpg,500,375,person,328,156,348,181
009638.jpg,500,375,pottedplant,15,153,51,197
009638.jpg,500,375,pottedplant,58,141,97,204
009638.jpg,500,375,diningtable,337,205,422,280
006084.jpg,500,375,cat,141,64,500,282
001933.jpg,500,375,bird,70,43,399,319
004693.jpg,500,333,train,1,1,143,226
004693.jpg,500,333,train,104,2,500,261
004693.jpg,500,333,person,168,141,218,278
002584.jpg,304,500,person,84,7,301,484
002584.jpg,304,500,person,1,318,91,500
002584.jpg,304,500,person,67,273,119,348
002584.jpg,304,500,car,1,249,176,346
002584.jpg,304,500,person,253,213,272,269
008917.jpg,500,500,cat,211,14,500,500
000387.jpg,500,333,car,5,18,482,255
003856.jpg,500,370,person,114,152,489,370
003856.jpg,500,370,person,119,21,373,359
003856.jpg,500,370,person,25,114,157,218
003856.jpg,500,370,person,63,134,168,247
002590.jpg,375,500,train,3,272,374,443
004687.jpg,500,375,motorbike,98,83,383,321
004687.jpg,500,375,person,145,34,288,316
004687.jpg,500,375,person,403,84,436,170
004687.jpg,500,375,car,442,100,500,161
005599.jpg,347,500,bicycle,179,146,308,435
005599.jpg,347,500,bicycle,46,171,181,408
005599.jpg,347,500,person,150,27,318,369
005599.jpg,347,500,person,26,37,191,376
001927.jpg,500,332,horse,15,92,318,274
001927.jpg,500,332,person,284,55,349,274
008095.jpg,500,375,train,373,141,500,175
008095.jpg,500,375,train,5,86,390,202
006912.jpg,500,375,diningtable,2,74,500,375
006912.jpg,500,375,person,443,59,500,215
006912.jpg,500,375,bottle,235,1,267,84
006912.jpg,500,375,chair,1,75,93,142
004863.jpg,500,375,car,61,61,421,282
002221.jpg,375,500,person,148,58,375,453
002221.jpg,375,500,chair,212,19,366,100
002221.jpg,375,500,chair,1,19,138,281
002221.jpg,375,500,person,1,74,49,316
002221.jpg,375,500,diningtable,118,22,375,229
002221.jpg,375,500,bottle,179,2,195,51
007359.jpg,500,375,tvmonitor,373,71,500,195
007359.jpg,500,375,person,9,32,341,375
009374.jpg,500,334,chair,71,94,461,334
009374.jpg,500,334,person,58,64,334,334
009412.jpg,500,375,bus,31,62,101,116
009412.jpg,500,375,person,75,85,255,375
009412.jpg,500,375,person,317,40,500,375
004136.jpg,500,375,bicycle,71,101,451,338
004136.jpg,500,375,person,146,32,323,368
004136.jpg,500,375,car,447,36,500,91
004136.jpg,500,375,car,342,26,394,49
004136.jpg,500,375,car,205,18,281,59
004136.jpg,500,375,car,83,19,132,39
004136.jpg,500,375,car,50,21,86,36
004136.jpg,500,375,car,20,19,43,35
004136.jpg,500,375,car,311,29,344,44
004136.jpg,500,375,bus,141,1,314,45
002547.jpg,500,375,bird,195,142,272,284
004122.jpg,375,500,person,262,325,299,396
004122.jpg,375,500,person,207,313,247,363
004122.jpg,375,500,person,121,333,155,456
004122.jpg,375,500,person,147,341,170,440
004122.jpg,375,500,person,163,342,188,443
004122.jpg,375,500,person,183,344,209,446
004122.jpg,375,500,person,203,344,230,447
004122.jpg,375,500,person,219,352,252,458
004122.jpg,375,500,person,242,348,265,443
004122.jpg,375,500,person,267,340,301,443
003895.jpg,500,332,train,1,2,500,246
006735.jpg,444,500,dog,40,24,402,490
006735.jpg,444,500,person,83,2,258,430
006735.jpg,444,500,person,344,1,436,124
009406.jpg,500,283,car,19,20,489,266
008718.jpg,500,375,person,373,130,449,359
008718.jpg,500,375,person,355,159,374,199
008718.jpg,500,375,person,328,163,349,209
008718.jpg,500,375,train,1,4,348,375
000344.jpg,375,500,bottle,89,2,307,441
004644.jpg,500,333,dog,1,26,186,260
007365.jpg,500,332,boat,12,46,82,151
007365.jpg,500,332,boat,298,101,323,147
007365.jpg,500,332,boat,174,83,200,151
007365.jpg,500,332,boat,239,104,263,143
007365.jpg,500,332,boat,263,100,295,143
009348.jpg,500,375,aeroplane,145,90,363,209
001714.jpg,332,500,sheep,127,302,208,357
003103.jpg,361,226,car,33,64,328,186
005214.jpg,500,381,train,1,14,500,381
001072.jpg,500,386,sofa,80,213,418,309
001072.jpg,500,386,person,160,170,316,309
008730.jpg,500,375,boat,160,207,436,284
008730.jpg,500,375,boat,213,176,277,199
008730.jpg,500,375,boat,341,187,465,230
008730.jpg,500,375,boat,138,129,203,208
008730.jpg,500,375,boat,1,166,55,200
001066.jpg,500,329,person,390,83,460,153
001066.jpg,500,329,person,101,20,165,150
006709.jpg,500,375,person,113,146,181,223
006709.jpg,500,375,person,187,159,272,238
006709.jpg,500,375,person,394,110,500,252
007417.jpg,500,269,dog,40,67,306,208
007417.jpg,500,269,cat,304,105,451,211
007417.jpg,500,269,sofa,1,2,499,269
003671.jpg,500,333,dog,135,6,358,323
002209.jpg,500,500,sheep,72,72,500,500
005566.jpg,500,375,car,80,39,422,293
005566.jpg,500,375,car,209,8,253,36
005566.jpg,500,375,car,441,1,500,37
005566.jpg,500,375,car,309,5,329,21
003117.jpg,500,333,car,152,52,439,310
008042.jpg,500,375,sofa,75,138,500,364
008042.jpg,500,375,person,67,61,213,261
008042.jpg,500,375,bottle,96,269,121,344
008042.jpg,500,375,bottle,116,268,135,334
008042.jpg,500,375,bottle,123,255,142,319
008042.jpg,500,375,bottle,145,259,171,326
008042.jpg,500,375,bottle,154,240,173,307
008042.jpg,500,375,bottle,104,247,119,272
008042.jpg,500,375,bottle,84,238,100,265
008042.jpg,500,375,bottle,64,233,81,263
008042.jpg,500,375,bottle,38,193,57,261
008042.jpg,500,375,bottle,33,232,53,264
008042.jpg,500,375,bottle,10,226,26,294
001847.jpg,500,370,boat,32,245,246,351
001847.jpg,500,370,boat,73,170,470,357
000581.jpg,500,332,sheep,140,184,272,292
003088.jpg,500,375,bottle,107,269,154,366
003088.jpg,500,375,person,69,65,330,375
003088.jpg,500,375,person,209,91,286,211
003936.jpg,500,330,car,34,202,190,259
006696.jpg,500,440,person,36,77,163,368
006696.jpg,500,440,person,291,160,358,261
006696.jpg,500,440,person,390,110,500,314
006696.jpg,500,440,chair,406,286,457,360
006696.jpg,500,440,chair,424,311,485,393
006696.jpg,500,440,chair,440,349,500,440
006696.jpg,500,440,diningtable,1,326,454,439
006682.jpg,500,375,person,307,74,499,373
006682.jpg,500,375,person,1,127,115,375
006682.jpg,500,375,person,116,50,314,371
004095.jpg,500,334,dog,186,97,323,304
002382.jpg,360,240,sofa,157,21,360,223
002382.jpg,360,240,person,3,65,354,221
002382.jpg,360,240,person,60,83,214,213
001853.jpg,500,375,bird,202,63,343,286
004903.jpg,500,331,sofa,37,126,374,301
004903.jpg,500,331,car,335,55,472,159
004903.jpg,500,331,car,440,95,500,247
